worms_sciname,worms_aphiaid,rank,phylum,class,subclass,order,family,genus,year,countryCode,stateProvince,county,locality,decimalLatitude,decimalLongitude,depth,taxonRemarks,verbatim_obis,terrestrial_only
Glycinde armigera,240633,species,Annelida,Polychaeta,Errantia,Phyllodocida,Goniadidae,Glycinde,2000,NA,NA,NA,NA,48.9300003052,-123.199996948,126.5,NA,Glycinde armigera,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,Paradise Point,34.004128,-118.7929,7.5,NA,Laminaria,0
Macoma balthica,141579,species,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Macoma,2002,NA,NA,NA,NA,46.6800003052,-123.957000732,NA,NA,Macoma balthica,0
Macoma,138531,genus,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Macoma,2003,NA,NA,NA,NA,46.78099823,-124.34400177,60,NA,Macoma sp,0
Leitoscoloplos pugettensis,254746,species,Annelida,Polychaeta,Sedentaria,NA,Orbiniidae,Leitoscoloplos,2003,NA,NA,NA,NA,32.6930007935,-117.146003723,3,NA,Leitoscoloplos pugettensis,0
Goniada maculata,130140,species,Annelida,Polychaeta,Errantia,Phyllodocida,Goniadidae,Goniada,2003,NA,NA,NA,NA,37.4430007935,-122.59400177,63,NA,Goniada maculata,0
Glycinde polygnatha,240626,species,Annelida,Polychaeta,Errantia,Phyllodocida,Goniadidae,Glycinde,2000,NA,NA,NA,NA,37.6800003052,-122.309997559,31,NA,Glycinde polygnatha,0
Syllis heterochaeta,195998,species,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Syllis,2003,NA,NA,NA,NA,32.9179992676,-117.273002625,26,NA,Typosyllis heterochaeta,0
Eulalia levicornuta,327589,species,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Eulalia,2003,NA,NA,NA,NA,33.8269996643,-120.075996399,120,NA,Eulalia levicornuta,0
Phyllodoce longipes,130673,species,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Phyllodoce,2003,NA,NA,NA,NA,34.1829986572,-119.353996277,28,NA,Phyllodoce longipes,0
Nereis pelagica,130404,species,Annelida,Polychaeta,Errantia,Phyllodocida,Nereididae,Nereis,NA,NA,Alaska,Kachemak Bay,Elephant Island,59.5141,-151.504967,NA,NA,Nereis pelagica,0
Leitoscoloplos pugettensis,254746,species,Annelida,Polychaeta,Sedentaria,NA,Orbiniidae,Leitoscoloplos,NA,NA,NA,NA,Puget Sound,47.78998,-122.3982,9.4,Originally identified as 'Leitoscoloplos pugettensis',Leitoscoloplos pugettensis,0
Mediomastus californiensis,157483,species,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Mediomastus,1999,NA,NA,NA,NA,45.5400009155,-123.930000305,NA,NA,Mediomastus californiensis,0
Macoma elimata,582757,species,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Macoma,2003,NA,NA,NA,NA,46.7690010071,-124.345001221,61,NA,Macoma elimata,0
Mediomastus acutus,329282,species,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Mediomastus,1999,NA,NA,NA,NA,38.25,-122.976997375,10,NA,Mediomastus acutus,0
Kellia suborbicularis,140161,species,Mollusca,Bivalvia,Autobranchia,Galeommatida,Lasaeidae,Kellia,1910,NA,NA,NA,Skidegate Inlet;West Narrows,53.1471099854,-132.261779785,0.1,NA,Kellia suborbicularis,0
Harmothoe hirsuta,174459,species,Annelida,Polychaeta,Errantia,Phyllodocida,Polynoidae,Harmothoe,2003,NA,NA,NA,NA,33.8899993896,-120.082000732,46,NA,Harmothoe hirsuta,0
Euchone,129528,genus,Annelida,Polychaeta,Sedentaria,Sabellida,Sabellidae,Euchone,1987,NA,NA,NA,Off California,40.7286109924,-124.506111145,207,NA,Euchone sp.,0
Eulalia quadrioculata,327601,species,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Eulalia,2002,NA,NA,NA,NA,47.391998291,-122.633003235,NA,NA,Eulalia quadrioculata,0
Glycinde polygnatha,240626,species,Annelida,Polychaeta,Errantia,Phyllodocida,Goniadidae,Glycinde,2000,NA,NA,NA,NA,37.8100013733,-122.430000305,36,NA,Glycinde polygnatha,0
Cryptomya californica,397065,species,Mollusca,Bivalvia,Autobranchia,Myida,Myidae,Cryptomya,2002,NA,NA,NA,NA,46.6800003052,-123.957000732,NA,NA,Cryptomya californica,0
Paraehlersia,195971,species,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Paraehlersia,NA,NA,NA,NA,Guerrero shelf,17.1526,-100.766833,83.6,NA,Paraehlersia,0
Notomastus,129220,genus,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Notomastus,2003,NA,NA,NA,NA,34.1160011292,-119.935997009,105,NA,Notomastus sp a,0
Leitoscoloplos pugettensis,254746,species,Annelida,Polychaeta,Sedentaria,NA,Orbiniidae,Leitoscoloplos,NA,NA,NA,NA,Puget Sound,48.10293,-122.75,15.3,Originally identified as 'Leitoscoloplos pugettensis',Leitoscoloplos pugettensis,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,Shaws Cove,33.543960999999996,-117.799858,4.7,NA,Laminaria,0
Glycinde armigera,240633,species,Annelida,Polychaeta,Errantia,Phyllodocida,Goniadidae,Glycinde,2000,NA,NA,NA,NA,48.4799995422,-122.989997864,41,NA,Glycinde armigera,0
Pholoe,129439,genus,Annelida,Polychaeta,Errantia,Phyllodocida,Sigalionidae,Pholoe,2016,CO,Nariño,San Andrés de Tumaco,F4 - Puente Morro-Alto,1.819307674,-78.75783348,NA,NA,Pholoe,0
Macoploma yoldiformis,879988,species,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Macoploma,2003,NA,NA,NA,NA,34.4620018005,-120.291000366,16,NA,Macoma yoldiformis,0
Tenonia priops,334901,species,Annelida,Polychaeta,Errantia,Phyllodocida,Polynoidae,Tenonia,2003,NA,NA,NA,NA,42.3019981384,-124.474998474,78,NA,Tenonia priops,0
