"","index","worms_sciname","min_lat","max_lat"
"156","156","Goniada brunnea",25.143333,60.5390014648
"157","157","Goniada foliacea",34.27917099,34.27917099
"158","158","Goniada littorea",31.751101,36.729167
"159","159","Goniada maculata",25.13,59.551667
"160","160","Grubeopolynoe tuta",45.75,59.490002
"161","161","Gymnonereis crosslandi",32.6790008545,39.7991714478
"162","162","Halosydna brevisetosa",27.998333,59.5141
"163","163","Halosydna johnsoni",30.4438,49.254235
"164","164","Halosydna latior",32.537,34.25
"165","165","Halosydna tuberculifer",41.894244,43.680311
"166","166","Haplosyllis ohma",48.0579986572,53.628333
"167","167","Haplosyllis spongiphila",33.505,47.9900016785
"168","168","Harmothoe aspera",49.216667,49.216667
"169","169","Harmothoe craigsmithi",33.19517,33.4936
"170","170","Harmothoe crassicirrata",33.505,37.865278
"171","171","Harmothoe extenuata",37.87003,60.75
"172","172","Harmothoe forcipata",33.55833,33.55833
"173","173","Harmothoe fragilis",33.4179992676,59.650002
"174","174","Harmothoe hirsuta",27.931944,37.991667
"175","175","Harmothoe imbricata",32.517,60.7919998169
"176","176","Harmothoe multisetosa",43.680311,54.3499984741
"177","177","Harmothoe praeclara",37.76665,37.76665
"178","178","Harmothoe rarispina",48.85,59.650002
"179","179","Harmothoe triannulata",34.05,34.05
"180","180","Hediste diadroma",43.3446,43.36
"181","181","Hediste diversicolor",37.94418,38.04152
"182","182","Hediste limnicola",48.416667,52.601667
"183","183","Hemipodia californiensis",34.406652,34.406652
"184","184","Hemipodia simplex",28.8330001831,59.498807
"185","185","Hermadion truncata",48.5472,48.5472
"186","186","Hermadionella truncata",45.9949989319,59.568274
"187","187","Hermilepidonotus robustus",57.3,57.3
"188","188","Hesionura coineaui",37.84653,59.535
"189","189","Hesionura coineaui difficilis",32.5950012207,53.5499992371
"190","190","Hesperalia nans",33.54,33.54
"191","191","Hesperonoe adventor",37.873833,60.75
"192","192","Hesperonoe complanata",35.344935,48.6199989319
"193","193","Hesperonoe laevis",26.886667,47.7044
"194","194","Heteromastus filobranchus",33.6940002441,60.9129981995
"195","195","Hololepida magna",32.630001,54.7
"196","196","Hypereteone fauchaldi",35.3400001526,46.6489982605
"197","197","Hypereteone heteropoda",50.366665,50.366665
"198","198","Hypereteone lighti",36.893333,48.1549987793
"199","199","Imajimapholoe parva",53.585,53.585
"200","200","Intoshella caeca",50.908333,50.908333
"201","201","Jasmineira pacifica",42.3019981384,53.1899986267
"202","202","Lagisca tenebricosa",45.675,49
"203","203","Laonome kroyeri",47.9900016785,48.487
"204","204","Leanira alba",25.730556,45.9767
"205","205","Leiocapitella glabra",26.776667,30.99
"206","206","Leitoscoloplos cliffordi",37.600167,37.750142
"207","207","Leitoscoloplos lunulus",37.230833333333,37.457333
"208","208","Leitoscoloplos mexicanus",25.665,30.99
"209","209","Leitoscoloplos multipapillatus",30.206666666667,30.206667
"210","210","Leitoscoloplos panamensis",25.665,59.108001709
"211","211","Leitoscoloplos sahlingi",44.57,44.57
"212","212","Leitoscoloplos williamsae",37.187666666667,37.187666666667
